week,detection_rate_median,detection_rate_p1,detection_rate_p2
20,0.06056372750431424,0.0751454221959389,0.05254845759225392
21,0.09812121212121212,0.11639903516056094,0.08900201202819039
22,0.11271676300578035,0.13243644099537072,0.10689410550754547
23,0.12115752730548361,0.13654042599090155,0.11756800314680158
24,0.14989997142040584,0.16615321258582869,0.14400241605578892
25,0.19258496395468588,0.21235521235521235,0.18419864559819413
26,0.23066104078762306,0.2792406017780913,0.212840906984074
27,0.29348795718108833,0.377547946580982,0.2581379154774865
