week,detection_rate_median,detection_rate_p1,detection_rate_p2
20,0.025218354041087465,0.030815946124706874,0.02167563209579572
21,0.030863073561544063,0.03647593019001916,0.028268728032321416
22,0.04172444220345393,0.04853052217962158,0.0395330088680541
23,0.06190075693860387,0.07170553964264141,0.059867575525874836
24,0.07154953429297206,0.07728540723464582,0.06898451930239916
25,0.08575096277278563,0.09559244419004007,0.08159276902406254
26,0.09109730848861283,0.1100039287117397,0.08423010132224851
27,0.15198165738617753,0.19821012836668875,0.14465193129033266
